시도,시군구,행정번호,년도,평균연령,스트레스인지율
경상남도,경남창원진해구,4812900000,2019,40.5,25.4
경상남도,경남진주시,4817000000,2019,42.5,25.2
경상남도,경남통영시,4822000000,2019,44.5,32.3
경상남도,경남사천시,4824000000,2019,45.5,10
경상남도,경남김해시,4825000000,2019,39.8,27.1
경상남도,경남밀양시,4827000000,2019,49.8,17.4
경상남도,경남거제시,4831000000,2019,39,20.7
경상남도,경남양산시,4833000000,2019,40.7,22.1
경상남도,경남의령군,4872000000,2019,54.3,22.6
경상남도,경남함안군,4873000000,2019,47.3,22.9
경상남도,경남창녕군,4874000000,2019,51,18.2
경상남도,경남고성군,4882000000,2019,50.9,17.2
경상남도,경남남해군,4884000000,2019,54.5,19.7
경상남도,경남하동군,4885000000,2019,52.9,21.1
경상남도,경남산청군,4886000000,2019,54.3,15.4
경상남도,경남함양군,4887000000,2019,52.2,23.4
경상남도,경남거창군,4888000000,2019,48.6,27.8
경상남도,경남합천군,4889000000,2019,55.5,19.5
제주특별자치도,제주제주시,5011000000,2019,40.9,23.2
제주특별자치도,제주서귀포시,5013000000,2019,44.4,23.2
서울특별시,서울종로구,1111000000,2020,45.3,28.6
서울특별시,서울중구,1114000000,2020,45.6,29.7
서울특별시,서울용산구,1117000000,2020,44.3,24.1
서울특별시,서울성동구,1120000000,2020,43,31.8
서울특별시,서울광진구,1121500000,2020,42.4,29.7
서울특별시,서울동대문구,1123000000,2020,44.1,26.2
서울특별시,서울중랑구,1126000000,2020,44.8,35.1
서울특별시,서울성북구,1129000000,2020,43.3,33.8
서울특별시,서울강북구,1130500000,2020,46.2,35.1
서울특별시,서울도봉구,1132000000,2020,45.5,29
